Order,Historic Name,Modern Name,State/Province/Colony,State Province Modern,Country Historic,Country Modern,lat_from,long_from,adj_long_from,lat_to,long_to,adj_long_to
19,Tacoma,Tacoma,Washington,Washington,USA,USA,47.2528768,-122.4442906,237.5557094,45.515232,-122.6783853,237.3216147
20,Portland,Portland,Oregon,Oregon,USA,USA,45.515232,-122.6783853,237.3216147,47.6062095,-122.3320708,237.6679292
21,Seattle,Seattle,Washington,Washington,USA,USA,47.6062095,-122.3320708,237.6679292,48.8787167,-121.9718657,238.0281343
22,New Whatcom,New Whatcom,Washington,Washington,USA,USA,48.8787167,-121.9718657,238.0281343,49.2827291,-123.1207375,236.8792625
23,Vancouver,Vancouver,British Colombia,British Colombia,Canada,Canada,49.2827291,-123.1207375,236.8792625,48.4284207,-123.3656444,236.6343556
24,"Victoria, B.C.","Victoria, B.C.",British Colombia,British Colombia,Canada,Canada,48.4284207,-123.3656444,236.6343556,21.3098845,-157.8581401,202.1418599
25,Honululu,Honululu,,Hawaii,Hawaii,USA,21.3098845,-157.8581401,202.1418599,-18.1405049,178.4232507,178.4232507
26,Suva,Suva,,,Fiji,Fiji,-18.1405049,178.4232507,178.4232507,-33.8688197,151.2092955,151.2092955
27,Sydney,Sydney,New South Wales,New South Wales,Australia,Australia,-33.8688197,151.2092955,151.2092955,-35.1025977,147.3655103,147.3655103
28,Wagga-Wagga,Wagga-Wagga,New South Wales,New South Wales,Australia,Australia,-35.1025977,147.3655103,147.3655103,-37.8136276,144.9630576,144.9630576
29,Melbourne,Melbourne,Victoria,Victoria,Australia,Australia,-37.8136276,144.9630576,144.9630576,-34.9284989,138.6007456,138.6007456
30,Adelaide,Adelaide,South Australia,South Australia,Australia,Australia,-34.9284989,138.6007456,138.6007456,-36.7166715,142.1996597,142.1996597
31,Horsham,Horsham,Victoria,Victoria,Australia,Australia,-36.7166715,142.1996597,142.1996597,-37.0573831,142.7761356,142.7761356
32,Stawell,Stawell,Victoria,Victoria,Australia,Australia,-37.0573831,142.7761356,142.7761356,-37.5621587,143.8502556,143.8502556
33,Ballarat,Ballarat,Victoria,Victoria,Australia,Australia,-37.5621587,143.8502556,143.8502556,-36.7596196,144.2785764,144.2785764
34,Bendigo,Bendigo,Victoria,Victoria,Australia,Australia,-36.7596196,144.2785764,144.2785764,-37.0483491,143.7353612,143.7353612
35,Marybourough,Marybourough,Victoria,Victoria,Australia,Australia,-37.0483491,143.7353612,143.7353612,-37.8136276,144.9630576,144.9630576
36,Melbourne,Melbourne,Victoria,Victoria,Australia,Australia,-37.8136276,144.9630576,144.9630576,-42.8826055,147.3257196,147.3257196
37,Hobart,Hobart,Tasmania,Tasmania,Australia,Australia,-42.8826055,147.3257196,147.3257196,-46.597299,168.3302209,168.3302209
